timestamp,ticker,price,score,w_spread,st_spread
2026-06-23 14:08,FICO,1093.97,0,27.37,3.08
2026-06-23 14:08,ROL,44.56,0,13.63,6.44
2026-06-23 14:08,CTAS,168.01,0,10.68,4.24
2026-06-23 14:08,CPRT,29.59,0,24.47,4.75
2026-06-23 14:08,ADP,218.83,2,16.1,2.58
2026-06-23 14:08,PAYX,97.75,2,15.76,2.06
2026-06-23 14:08,EFX,153.16,0,27.51,7.78
2026-06-23 14:08,TRI,79.93,0,47.35,3.18
2026-06-23 14:08,IHS,8.22,2,9.31,0.51
2026-06-23 14:08,VRSK,174.0,0,23.29,4.12
2026-06-23 14:08,IT,129.04,0,47.58,3.31
2026-06-23 14:08,MU,1057.17,4,42.36,19.86
2026-06-23 14:08,MPWR,1407.61,3,32.56,13.9
2026-06-23 14:08,MRVL,278.17,4,39.1,22.19
2026-06-23 14:08,ITW,262.99,3,3.22,3.22
2026-06-23 14:08,ROP,328.3,0,25.86,1.9
2026-06-23 14:08,SYK,309.37,1,14.8,7.01
2026-06-23 14:08,BSX,45.33,0,69.87,19.5
2026-06-23 14:08,AMZN,235.24,2,10.83,9.08
2026-06-23 14:08,APP,470.36,2,12.36,7.26
2026-06-23 14:08,MTD,1150.5,0,13.05,5.56
2026-06-23 14:08,MANH,131.46,0,23.82,1.28
2026-06-23 14:08,FAST,45.81,4,3.51,0.91
2026-06-23 14:08,MNST,93.19,4,13.06,5.2
2026-06-23 14:08,POOL,196.05,1,26.94,5.54
2026-06-23 14:08,NVR,6416.62,1,16.64,5.82
2026-06-23 14:08,DHI,157.06,4,2.45,0.7
2026-06-23 14:08,LEN,87.63,0,23.84,5.91
2026-06-23 14:08,TOL,152.03,4,2.84,1.21
2026-06-23 14:08,DOCS,20.78,0,102.22,5.84
2026-06-23 14:08,MKTX,118.42,0,28.36,17.58
2026-06-23 14:08,ACGL,93.59,3,1.93,1.75
2026-06-23 14:08,CHD,96.17,3,4.88,1.23
2026-06-23 14:08,CL,91.59,4,5.27,0.3
2026-06-23 14:08,HSY,178.27,1,7.89,7.89
2026-06-23 14:08,TJX,165.04,4,5.67,0.2
2026-06-23 14:08,GIS,34.66,1,24.78,8.24
2026-06-23 14:08,NFLX,73.4,0,21.46,5.68
2026-06-23 14:08,LULU,109.24,0,42.89,19.78
2026-06-23 14:08,WSM,226.14,4,2.96,1.84
2026-06-23 14:08,KMB,103.2,2,7.7,0.92
2026-06-23 14:08,VRTX,469.75,4,2.71,1.9
2026-06-23 14:08,DECK,104.74,1,3.51,0.48
2026-06-23 14:08,HWM,276.13,4,14.84,2.55
2026-06-23 14:08,FSLR,252.16,4,9.07,9.07
2026-06-23 14:08,DUOL,132.91,2,65.5,5.1
2026-06-23 14:08,PLAB,31.63,1,31.42,4.02
2026-06-23 14:08,WPM,117.54,1,12.73,6.38
2026-06-23 14:08,NEM,97.93,1,14.59,3.93
2026-06-23 14:08,CCJ,109.22,2,11.79,0.93
2026-06-23 14:08,VRSN,247.83,0,10.89,7.81
2026-06-23 14:08,CRDO,268.13,4,25.3,19.14
2026-06-23 14:08,MTSI,369.76,4,38.24,15.76
2026-06-23 14:08,SLDE,17.38,2,4.82,0.01
2026-06-23 14:08,SEZL,147.98,4,23.04,15.83
2026-06-23 14:08,INCY,104.92,4,4.95,1.44
2026-06-23 14:08,UTHR,546.14,3,15.9,3.09
2026-06-23 14:08,EQT,51.4,0,6.23,6.23
2026-06-23 14:08,RRC,36.48,0,8.38,3.35
2026-06-23 14:08,CTRA,32.56,3,19.76,8.03
2026-06-23 14:08,CF,102.92,2,18.02,0.59
2026-06-23 14:08,LIN,514.78,4,8.11,1.58
2026-06-23 14:08,ETN,408.23,4,9.51,4.24
2026-06-23 14:08,HEI,335.29,4,2.89,1.51
2026-06-23 14:08,CW,777.05,4,16.0,3.04
2026-06-23 14:08,BWXT,213.15,4,7.22,0.84
2026-06-23 14:08,TW,99.61,0,8.24,7.76
2026-06-23 14:08,ALAB,399.25,4,27.94,21.44
2026-06-23 14:08,UBER,70.25,0,14.66,0.45
2026-06-23 14:08,ABNB,139.71,4,5.47,2.92
2026-06-23 14:08,ANET,163.04,4,11.93,7.13
2026-06-23 14:08,SCHW,92.99,3,4.55,1.87
2026-06-23 14:08,IBKR,95.68,4,15.67,8.39
2026-06-23 14:08,KRYS,342.54,4,21.21,6.75
2026-06-23 14:08,NBIX,162.86,4,7.55,7.28
2026-06-23 14:08,HOOD,104.0,4,21.4,5.97
2026-06-23 14:08,PLTR,118.0,0,18.86,2.81
2026-06-23 14:08,AXON,436.27,1,34.01,3.98
2026-06-23 14:08,MELI,1593.01,0,21.63,3.55
2026-06-23 14:08,ARM,367.19,4,36.8,23.27
2026-06-23 14:08,SNOW,232.02,4,11.84,7.2
2026-06-23 14:08,BILL,32.23,0,26.29,7.2
2026-06-23 14:08,MDB,321.11,3,11.41,5.08
2026-06-23 14:08,NET,227.38,4,7.45,5.62
2026-06-23 14:08,HUBS,175.96,0,79.9,11.87
2026-06-23 14:08,TEAM,82.04,1,56.7,9.73
2026-06-23 14:08,MKC,47.3,0,27.8,11.71
2026-06-23 14:08,DPZ,285.8,0,26.06,10.37
2026-06-23 14:08,GEV,1047.78,4,26.41,7.85
2026-06-23 14:08,CEG,274.17,0,12.55,2.51
2026-06-23 14:08,NEE,86.63,2,8.66,1.17
2026-06-23 14:08,NRG,137.99,2,12.24,8.45
2026-06-23 14:08,PCG,16.82,3,6.66,4.18
2026-06-23 14:08,VST,163.47,3,11.2,1.72
2026-06-23 14:08,KTOS,51.62,0,38.47,22.79
2026-06-23 14:08,CELH,28.71,0,50.5,17.9
2026-06-23 14:08,SOFI,17.34,2,32.6,2.52
2026-06-23 14:08,UPWK,7.98,0,72.67,19.61
2026-06-23 14:08,CORZ,29.11,4,23.89,14.33
2026-06-23 14:08,CLS,351.55,3,24.36,12.08
2026-06-23 14:08,MRAM,23.12,3,57.52,34.25
2026-06-23 14:08,SSNC,65.9,0,17.19,2.69
2026-06-23 14:08,SMR,11.12,0,104.91,1.18
2026-06-23 14:08,OKLO,58.31,0,35.54,5.62
2026-06-23 14:08,SYM,38.64,0,21.11,6.23
2026-06-23 14:08,RKLB,96.19,3,39.05,20.23
2026-06-23 14:08,AMSC,42.42,3,25.08,17.87
2026-06-23 14:08,BMY,55.65,2,11.07,1.97
2026-06-23 14:08,BIIB,200.5,4,11.99,2.5
2026-06-23 14:08,CRSP,54.29,3,6.5,0.22
2026-06-23 14:08,NTLA,15.29,4,10.48,2.18
2026-06-23 14:08,BEAM,33.8,4,13.99,5.92
2026-06-23 14:08,RXRX,3.17,0,32.1,1.89
2026-06-23 14:08,RARE,29.05,3,13.23,5.34
2026-06-23 14:08,COST,960.2,2,4.18,0.25
2026-06-23 14:08,ORLY,87.29,0,6.23,1.17
2026-06-23 14:08,TDG,1290.37,4,5.47,0.55
2026-06-23 14:08,FISV,47.3,0,58.56,4.15
2026-06-23 14:08,APD,281.63,2,5.59,0.85
2026-06-23 14:08,PYPL,41.7,0,27.82,0.16
2026-06-23 14:08,IOT,31.22,1,11.22,2.49
2026-06-23 14:08,CIEN,455.58,3,50.75,14.1
2026-06-23 14:08,GFS,83.13,4,36.03,17.95
2026-06-23 14:08,PWR,713.15,3,28.58,10.83
2026-06-23 14:08,SITM,707.03,4,43.01,22.38
2026-06-23 14:08,LSCC,144.35,4,32.84,13.86
2026-06-23 14:08,ONTO,312.38,4,33.31,11.43
2026-06-23 14:08,AMKR,86.66,4,35.17,15.38
2026-06-23 14:08,AMD,518.6,4,39.48,23.79
2026-06-23 14:08,INTC,132.89,4,45.69,24.34
2026-06-23 14:08,MOD,277.01,4,31.8,10.23
2026-06-23 14:08,TOST,24.54,0,32.43,3.98
2026-06-23 14:08,FIG,19.66,0,37.02,7.27
2026-06-23 14:08,KLAR,17.84,2,35.91,6.08
2026-06-23 14:08,UPST,31.42,2,47.68,5.04
2026-06-23 14:08,LYFT,14.01,2,21.63,1.51
2026-06-23 14:08,OTLY,8.33,0,35.33,9.14
2026-06-23 14:13,AAPL,298.54,4,11.43,6.48
2026-06-23 14:13,MSFT,373.68,0,14.77,2.8
2026-06-23 14:13,GOOGL,346.73,3,22.21,9.69
2026-06-23 14:13,META,563.61,0,9.95,1.41
2026-06-23 14:13,NVDA,201.62,3,10.98,6.97
2026-06-23 14:13,V,329.66,3,4.11,2.21
2026-06-23 14:13,MA,488.53,0,8.84,1.3
2026-06-23 14:13,UNH,408.2,4,15.35,12.31
2026-06-23 14:13,LLY,1110.61,4,9.67,3.57
2026-06-23 14:13,JPM,334.28,4,2.46,2.42
2026-06-23 14:13,JNJ,237.82,4,11.05,2.01
2026-06-23 14:13,PG,150.8,3,1.18,1.18
2026-06-23 14:13,HD,325.98,1,11.55,4.23
2026-06-23 14:13,ABBV,233.95,4,1.28,0.08
2026-06-23 14:13,MRK,118.82,4,12.93,1.15
2026-06-23 14:13,TMO,466.32,1,12.71,3.28
2026-06-23 14:13,ACN,125.65,0,47.03,13.52
2026-06-23 14:13,AVGO,382.3,3,16.3,10.36
2026-06-23 14:13,TXN,302.43,4,29.15,15.25
2026-06-23 14:13,QCOM,202.11,3,21.51,18.68
2026-06-23 14:13,DHR,177.83,1,15.0,5.61
2026-06-23 14:13,AMAT,585.4,4,29.52,10.06
2026-06-23 14:13,LRCX,370.76,4,31.49,11.36
2026-06-23 14:13,KLAC,243.36,4,27.53,11.15
2026-06-23 14:13,MCHP,93.25,3,24.18,13.13
2026-06-23 14:13,ADI,405.52,3,26.78,9.62
2026-06-23 14:13,SNPS,468.64,2,7.17,7.17
2026-06-23 14:13,CDNS,381.08,4,11.42,10.1
2026-06-23 14:13,ADBE,197.79,0,33.3,4.16
2026-06-23 14:13,CRM,154.16,0,28.56,3.97
2026-06-23 14:13,NOW,97.05,0,42.67,2.47
2026-06-23 14:13,INTU,259.05,0,80.79,15.48
2026-06-23 14:13,ORCL,166.06,0,21.73,11.87
2026-06-23 14:13,FTNT,147.8,4,23.48,15.24
2026-06-23 14:13,PANW,289.55,4,17.61,15.34
2026-06-23 14:13,CRWD,685.24,4,18.52,15.34
2026-06-23 14:13,ZS,127.63,0,59.02,2.15
2026-06-23 14:13,DDOG,221.93,4,24.54,19.42
